,id,pesquisa,tabela,nome_tabela
0,D5,Áreas Urbanizadas,8418,"Áreas urbanizadas, Loteamento vazio, Área total mapeada e Subcategorias"
1,CL,Cadastro Central de Empresas,1685,"Unidades locais, empresas e outras organizações atuantes, pessoal ocupado total, pessoal ocupado assalariado, pessoal assalariado médio, salários e outras remunerações e salário médio mensal"
2,CL,Cadastro Central de Empresas,1734,"Dados gerais das unidades locais por faixas de pessoal ocupado total, segundo seção e divisão da classificação de atividades, em nível Brasil, Grandes Regiões, Unidades da Federação e Municipíos das Capitais"
3,CL,Cadastro Central de Empresas,1735,"Dados gerais das unidades locais por faixas de pessoal ocupado total, segundo seção da classificação de atividades, em nível Brasil, Grandes Regiões, Unidades da Federação e Municipíos"
4,CL,Cadastro Central de Empresas,2933,"Empresas e outras organizações, por ano de fundação, seção da classificação de atividades e faixas de pessoal ocupado total"
5,CL,Cadastro Central de Empresas,3421,"Unidades locais, empresas e outras organizações atuantes, pessoal ocupado total, pessoal ocupado assalariado, pessoal assalariado médio, salários e outras remunerações e salário médio mensal, por seção e divisão da classificação de atividades (CNAE 2.0), para os municípios com 50.000 habitantes ou mais"
6,CL,Cadastro Central de Empresas,6449,"Empresas e outras organizações, pessoal ocupado total, pessoal ocupado assalariado, salários e outras remunerações, por seção, divisão, grupo e classe da classificação de atividades (CNAE 2.0)"
7,CL,Cadastro Central de Empresas,6450,"Unidades locais, pessoal ocupado total e assalariado, salários e outras remunerações, por seção, divisão, grupo e classe da classificação de atividades (CNAE 2.0)"
8,CL,Cadastro Central de Empresas,993,"Empresas e outras organizações, por seção da classificação de atividades (CNAE 2.0), faixas de pessoal ocupado total e ano de fundação"
9,CA,Censo Agropecuário,1005,"Número de estabelecimentos agropecuários com eletrodomésticos, por tipo de eletroméstico utilizado, condição do produtor em relação às terras, direção do estabelecimento, nível de instrução da pessoa que dirige o estabelecimento, grupos de atividade econômica e grupos de área total"
10,CA,Censo Agropecuário,1006,"Número de estabelecimentos agropecuários com produção animal integrada à indústria, por tipo de produção animal integrada à indústria, condição do produtor em relação às terras, tipos de insumos pagos pelo integrador, nível de instrução da pessoa que dirige o estabelecimento e grupos de área total"
11,CA,Censo Agropecuário,1008,"Número de estabelecimentos agropecuários com uso de agrotóxicos por tipo de equipamento utilizado na aplicação do agrotóxico, condição do produtor em relação às terras, nível de instrução da pessoa que dirige o estabelecimento, orinteção técnica, uso de equipamentos de proteção e indicativo de pessoas intoxicadas"
12,CA,Censo Agropecuário,1009,"Número de estabelecimentos agropecuários com uso de agrotóxicos por tipo de equipamento utilizado na aplicação do agrotóxico, condição do produtor em relação às terras, nível de instrução da pessoa que dirige o estabelecimento, orinteção técnica, uso de equipamentos de proteção e destino das embalagens"
13,CA,Censo Agropecuário,1010,"Número de estabelecimentos agropecuários com tratamento de esterco de animais por local onde ocorreu o tratamento, condição do produtor em relação às terras, nível de instrução da pessoa que dirige o estabelecimento, orientação técnica, grupos de atividade econômica e grupos de área total"
14,CA,Censo Agropecuário,1011,Número de estabelecimentos agropecuários e Área dos estabelecimentos por utilização das terras e grupos e classes da atividade econômica
15,CA,Censo Agropecuário,1012,"Número de estabelecimentos agropecuários com recursos hídricos, por tipo de recurso hídrico, condição do produtor em relação às terras, nível de instrução da pessoa que dirige o estabelecimento, grupos de atividade econômica e grupos de área total"
16,CA,Censo Agropecuário,1013,Número de estabelecimentos e Área dos estabelecimentos agropecuários por condição do produtor em relação às terras e grupos e classes da atividade econômica
17,CA,Censo Agropecuário,1014,"Número de estabelecimentos e Área dos estabelecimentos agropecuários por condição legal do produtor em relação às terras, sexo do dirigente, condição do produtor em relação às terras, direção do estabelecimento, classe de idade do produtor e nível de instrução do produtor"
