,var_id,var_nome,var_unidade,var_sumarizacao,tabela_id
0,9808,PIB - valores correntes,Milhões de Reais,[],6784
1,9809,PIB - preços do ano anterior,Milhões de Reais,[],6784
2,9810,PIB - variação em volume,%,[],6784
3,9811,PIB - deflator - variação anual,%,[],6784
4,93,População residente,Mil pessoas,[],6784
5,9812,PIB per capita - valores correntes,Reais,[],6784
6,9813,PIB per capita - preços do ano anterior,Reais,[],6784
7,9814,PIB per capita - variação em volume,%,[],6784
,var_id,var_nome,var_unidade,var_sumarizacao,tabela_id
0,9808,PIB - valores correntes,Milhões de Reais,[],6784
1,9809,PIB - preços do ano anterior,Milhões de Reais,[],6784
2,9810,PIB - variação em volume,%,[],6784
3,9811,PIB - deflator - variação anual,%,[],6784
4,93,População residente,Mil pessoas,[],6784
5,9812,PIB per capita - valores correntes,Reais,[],6784
6,9813,PIB per capita - preços do ano anterior,Reais,[],6784
7,9814,PIB per capita - variação em volume,%,[],6784
,var_id,var_nome,var_unidade,var_sumarizacao,tabela_id
0,9808,PIB - valores correntes,Milhões de Reais,[],6784
1,9809,PIB - preços do ano anterior,Milhões de Reais,[],6784
2,9810,PIB - variação em volume,%,[],6784
3,9811,PIB - deflator - variação anual,%,[],6784
4,93,População residente,Mil pessoas,[],6784
5,9812,PIB per capita - valores correntes,Reais,[],6784
6,9813,PIB per capita - preços do ano anterior,Reais,[],6784
7,9814,PIB per capita - variação em volume,%,[],6784
