,categ_id,categ_nome,categ_unidade,categ_nivel,tabela_id,tabela_classificacoes.id,tabela_classificacoes.nome
0,0,Total,,0,2093,86,Cor ou raça
1,2776,Branca,,1,2093,86,Cor ou raça
2,2777,Preta,,1,2093,86,Cor ou raça
3,2778,Amarela,,1,2093,86,Cor ou raça
4,2779,Parda,,1,2093,86,Cor ou raça
5,2780,Indígena,,1,2093,86,Cor ou raça
6,2781,Sem declaração,,1,2093,86,Cor ou raça
7,0,Total,,0,2093,2,Sexo
8,4,Homens,,1,2093,2,Sexo
9,5,Mulheres,,1,2093,2,Sexo
10,0,Total,,0,2093,1,Situação do domicílio
11,1,Urbana,,1,2093,1,Situação do domicílio
12,2,Rural,,1,2093,1,Situação do domicílio
13,0,Total,,-1,2093,58,Grupo de idade
14,100402,0 a 14 anos,,-1,2093,58,Grupo de idade
15,1140,0 a 4 anos,,-1,2093,58,Grupo de idade
16,1141,5 a 9 anos,,-1,2093,58,Grupo de idade
17,1142,10 a 14 anos,,-1,2093,58,Grupo de idade
18,6797,15 a 64 anos,,-1,2093,58,Grupo de idade
19,1143,15 a 19 anos,,-1,2093,58,Grupo de idade
20,2792,15 a 17 anos,,-1,2093,58,Grupo de idade
21,92982,18 e 19 anos,,-1,2093,58,Grupo de idade
22,1144,20 a 24 anos,,-1,2093,58,Grupo de idade
23,1145,25 a 29 anos,,-1,2093,58,Grupo de idade
24,3299,30 a 39 anos,,-1,2093,58,Grupo de idade
25,3300,40 a 49 anos,,-1,2093,58,Grupo de idade
26,3301,50 a 59 anos,,-1,2093,58,Grupo de idade
27,3520,60 a 69 anos,,-1,2093,58,Grupo de idade
28,6798,65 anos ou mais,,-1,2093,58,Grupo de idade
29,3244,70 anos ou mais,,-1,2093,58,Grupo de idade
30,95252,70 a 79 anos,,-1,2093,58,Grupo de idade
31,2503,80 anos ou mais,,-1,2093,58,Grupo de idade
